	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
0610007P14Rik	1582	1486	1000	1072	1030	1278
0610009B22Rik	1551	1641	1237	1063	1207	1287
0610009L18Rik	110	100	80	78	139	131
0610009O20Rik	1838	1703	1335	1169	1330	1396
0610010F05Rik	2427	2188	1606	1608	1769	2062
0610010K14Rik	629	631	464	428	480	489
0610012D04Rik	6	2	2	2	2	1
0610012G03Rik	726	760	567	531	563	604
0610025J13Rik	0	1	0	0	1	0
0610030E20Rik	971	934	744	812	905	917
0610031O16Rik	0	0	1	0	0	1
0610037L13Rik	1480	1412	1085	1052	1212	1254
0610038B21Rik	318	297	237	203	259	264
0610039K10Rik	188	163	145	115	117	137
0610040B10Rik	293	270	164	169	233	191
0610040F04Rik	98	98	86	80	83	88
0610040J01Rik	25	27	25	15	13	15
1110002E22Rik	169	176	119	57	59	76
1110002L01Rik	5155	4814	3477	3544	3972	4322
1110003F10Rik	24	20	14	7	11	15
1110004E09Rik	1255	1290	1032	1080	1180	1300
1110004F10Rik	3972	3739	2706	2736	3062	3219
1110008F13Rik	1777	1678	1292	1187	1273	1465
1110008L16Rik	160	181	154	129	129	157
1110008P14Rik	1208	1157	888	799	889	889
1110012L19Rik	614	583	444	418	485	541
1110017D15Rik	8	13	11	11	11	9
1110025L11Rik	0	0	0	0	0	0
1110025M09Rik	125	124	87	116	103	113
1110028F11Rik	0	1	0	1	1	0
1110032A03Rik	805	738	569	412	429	492
1110032F04Rik	74	74	49	35	45	58
1110034G24Rik	513	500	355	372	392	467
1110035H17Rik	75	83	69	76	71	77
1110035H17Rik-201	75	83	69	76	71	77
1110037F02Rik	4596	4157	3234	2951	3270	3471
1110038F14Rik	973	970	717	721	764	828
1110046J04Rik	95	83	85	44	59	50
1110051M20Rik	5660	5419	4146	3959	4523	4890
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	948	925	747	677	740	812
1110059G10Rik	800	765	559	547	595	643
1110060G06Rik	0	0	0	0	1	0
1110065P20Rik	571	593	413	459	496	498
1190002N15Rik	2697	2328	1762	1633	1775	2013
1190003K10Rik	0	2	0	1	0	1
1190005I06Rik	1055	940	789	710	811	849
1190007I07Rik	231	245	160	94	110	98
1300017J02Rik	33	23	23	22	27	17
1500002C15Rik	3221	2977	2281	1920	2030	2275
1500005C15Rik	4	4	2	1	2	2
1500009C09Rik	1431	1360	898	934	943	1159
1500009L16Rik	181	182	139	136	129	175
1500011B03Rik	2441	2233	1608	1587	1582	1758
1500011K16Rik	1150	1155	780	798	827	947
1500015A07Rik	614	550	394	408	506	508
1500015O10Rik	35	34	44	25	18	30
1520401A03Rik	45	22	27	21	14	19
1600002H07Rik	537	489	383	410	470	504
1600002K03Rik	377	377	260	287	367	358
1600010M07Rik	5	2	0	2	0	0
1600012H06Rik	2332	2155	1584	1567	1684	1865
1600014C10Rik	640	617	452	452	547	601
1600014C23Rik	179	165	124	127	130	159
1600015I10Rik	0	0	0	0	0	0
1600017P15Rik	26	24	23	11	22	21
1600020E01Rik	1008	1027	686	748	758	852
1600023N17Rik	50	57	39	49	53	43
1700001C02Rik	1	3	0	0	0	0
1700001C19Rik	1	0	0	0	1	1
1700001D01Rik	3	4	8	1	4	5
1700001F09Rik	5	6	3	1	1	0
1700001G17Rik	33	41	21	21	27	26
1700001J03Rik	16	8	5	10	6	4
1700001J04Rik	0	1	0	0	1	0
1700001K19Rik	106	94	83	70	104	101
1700001L19Rik	49	35	21	39	47	44
1700001O22Rik	116	121	93	115	122	117
1700001P01Rik	15	14	14	10	11	8
1700003E16Rik	329	308	294	261	295	287
1700003F12Rik	6	11	8	6	6	10
1700003G13Rik	0	1	0	0	0	0
1700003H04Rik	0	0	0	0	0	0
1700006A11Rik	1	0	0	0	0	0
1700006E09Rik	2	5	5	1	3	3
1700006P03Rik	3	5	2	0	3	5
1700007B14Rik	12	6	2	2	1	0
1700007G11Rik	29	23	18	8	9	12
1700007K09Rik	0	1	1	1	2	0
1700007K13Rik	31	48	33	30	41	32
1700007P06Rik	0	1	0	1	0	0
1700008A23Rik	0	1	0	1	0	2
1700008B11Rik	10	20	13	14	15	20
1700008H02Rik	0	0	0	0	1	6
1700008J07Rik	412	409	333	259	293	307
1700008O03Rik	36	50	23	54	46	48
1700008P02Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0
1700010I14Rik	14	17	14	11	12	16
1700010K24Rik	32	23	22	26	21	28
1700011E24Rik	2	2	2	2	5	3
1700011H14Rik	60	42	30	6	17	11
1700011I03Rik	17	9	10	8	13	12
1700011L22Rik	0	0	2	0	0	0
1700011M02Rik	0	0	1	0	2	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	1	0	0	2	0	0
1700012B09Rik	1	0	0	0	1	1
1700012D16Rik	1	3	0	1	0	1
1700012J22Rik	1	0	0	1	0	2
1700012L04Rik	1	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013A02Rik	0	1	0	1	3	0
1700013D24Rik	0	1	0	0	0	0
1700013F07Rik	9	5	7	5	6	4
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0
1700013M08Rik	1	3	5	0	1	0
1700014D04Rik	1	4	3	5	7	5
1700015C17Rik	0	0	1	0	0	0
1700015E13Rik	8	11	10	8	3	5
1700015F17Rik	6	9	2	4	2	4
1700015G11Rik	1	2	0	1	2	2
1700016A09Rik	22	28	23	22	25	22
1700016B15Rik	57	43	43	32	50	57
1700016C15Rik	1	4	3	1	1	2
1700016D06Rik	1	2	0	0	0	0
1700016D08Rik	49	30	33	30	33	38
1700016G14Rik	0	1	1	0	0	1
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	4	6	5	0	4	6
1700016L21Rik	15	10	7	7	13	10
1700017B05Rik	178	136	139	89	75	94
1700017D01Rik	0	0	0	0	0	0
1700017N19Rik	15	19	12	8	10	8
1700018A14Rik	26	23	26	28	23	26
1700018B08Rik	0	0	0	0	1	0
1700018C11Rik	2	2	1	0	1	0
1700018F24Rik	0	0	0	0	0	0
1700018L02Rik	128	162	113	138	140	129
1700018M17Rik-201	21	27	15	24	24	17
1700019A02Rik	30	29	26	12	27	39
1700019A23Rik	9	14	7	8	11	7
1700019B03Rik	6	5	6	4	7	6
1700019D03Rik	676	637	415	412	465	511
1700019G24Rik	1	4	0	1	3	5
1700019N19Rik	3	5	3	0	3	3
1700019O17Rik	3	0	0	1	0	1
1700020A23Rik	9	11	6	10	8	8
1700020D05Rik	180	168	137	110	156	128
1700020G17Rik	0	0	0	0	0	0
1700020L24Rik	34	33	25	43	50	53
1700020N01Rik	0	0	0	0	0	1
1700020N15Rik	0	0	0	0	0	0
1700021F05Rik	334	359	269	252	287	346
1700021F07Rik	0	0	0	1	0	0
1700021J08Rik	401	399	293	265	313	349
1700021N21Rik	2	4	3	13	15	11
1700022I11Rik	57	60	47	35	76	48
1700023F06Rik	22	32	16	17	24	28
1700024B05Rik	0	0	0	0	0	0
1700024G13Rik	3	3	0	2	3	5
1700024J04Rik-201	1	0	2	0	0	1
1700024P04Rik	0	1	0	0	0	0
1700024P16Rik	32	30	26	11	15	10
1700025A08Rik	0	0	0	1	0	0
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	1	1	1	0	0	1
1700025F22Rik	0	0	0	0	0	0
1700025G04Rik	2529	2343	1768	1643	1927	2041
1700025N21Rik	0	0	0	0	0	0
1700025N23Rik	0	0	1	3	1	1
1700026D11Rik	0	1	3	0	4	1
1700027A07Rik	12	14	5	22	10	20
1700027A15Rik	9	9	5	5	5	3
1700027H10Rik	103	109	62	58	81	57
1700027J19Rik	27	29	17	9	23	15
1700028J19Rik	3	11	5	10	9	5
1700028K03Rik	957	941	712	639	723	717
1700028P14Rik	12	10	6	12	15	16
1700029B22Rik	0	0	0	0	0	0
1700029B24Rik	634	556	422	400	441	472
1700029F12Rik	0	0	0	0	1	0
1700029H14Rik	13	11	6	2	10	7
1700029I15Rik	339	343	248	206	289	256
1700029J07Rik	1276	1260	982	909	1033	1112
1700029P11Rik	5	6	1	2	4	0
1700030A11Rik	1	0	0	0	1	5
1700030C10Rik	0	0	3	2	1	2
1700030C14Rik	0	1	0	0	0	0
1700030I03Rik	5	5	0	4	3	0
1700030J22Rik	420	453	404	323	345	334
1700030K09Rik	854	810	635	505	609	635
1700030M09Rik	0	0	2	1	3	3
1700030N18Rik	0	1	3	1	1	0
1700031A10Rik	0	0	0	0	0	1
1700031F05Rik	0	0	0	1	0	0
1700031F10Rik	0	1	0	0	1	0
1700031M16Rik	0	0	0	2	3	2
1700034E13Rik	0	0	0	0	0	0
1700034H15Rik	107	123	100	113	128	113
1700034I23Rik	69	54	44	49	81	59
1700034J04Rik	0	0	0	0	0	0
1700034J05Rik	5	9	10	3	6	5
1700034O15Rik	0	0	0	0	0	0
1700034P13Rik	386	377	308	243	296	297
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	731	767	603	476	599	609
1700037H04Rik	284	296	211	192	229	264
1700039E22Rik	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	1	0
1700040L02Rik	11	12	10	10	2	15
1700040L08Rik	227	231	209	126	185	209
1700042G07Rik	1	0	3	1	0	1
1700042O10Rik	0	0	0	0	1	1
1700045H11Rik	0	1	0	0	0	0
1700045I11Rik	0	1	1	0	0	0
1700047A11Rik	324	405	273	245	327	313
1700047I17Rik2	1235	1200	724	464	507	535
1700047L14Rik	0	0	0	0	0	0
1700047N06Rik	17	15	9	10	14	11
1700048M11Rik	42	21	17	20	27	20
1700048O20Rik	486	612	442	636	708	796
1700049E17Rik1	1	0	0	0	0	0
1700049E17Rik2	0	0	0	1	0	0
1700049J03Rik	5	3	4	2	1	3
1700051K13Rik	0	6	3	2	6	2
1700051O22Rik	36	34	26	16	14	18
1700052K11Rik	449	426	325	387	474	511
1700054K02Rik	0	0	0	0	0	0
1700054M17Rik	1	4	3	1	4	3
1700054O19Rik	0	0	2	0	2	2
1700055D18Rik	175	155	103	128	169	158
1700056E22Rik	16	16	12	8	11	5
1700057G04Rik	0	0	0	0	0	0
1700058P15Rik	36	31	23	17	15	14
1700060C20Rik	0	0	0	0	1	0
1700060J05Rik	588	523	387	402	482	466
1700060O08Rik	5	6	3	0	1	2
1700061E17Rik	18	25	9	21	24	21
1700061E18Rik	0	0	0	0	0	0
1700061G19Rik	18	24	19	11	14	13
1700061H18Rik	4	5	4	2	4	1
1700063I16Rik	0	0	0	0	0	0
1700064H15Rik	39	31	21	45	28	50
1700065D16Rik	23	35	22	25	26	21
1700065I16Rik	0	0	0	0	0	0
1700066B19Rik	20	15	10	10	7	15
1700066M21Rik	973	863	615	664	764	807
1700066N21Rik	0	1	0	0	0	0
1700067K01Rik	55	49	41	26	36	47
1700067P10Rik	1	3	3	1	2	4
1700069B07Rik	3	6	0	4	5	2
1700069L16Rik	0	1	0	1	0	0
1700071G01Rik	5	7	4	5	8	3
1700071M16Rik	1196	1190	845	1061	1289	1294
1700074A21Rik	0	0	0	0	1	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	1	0	0	0
1700080N15Rik	18	27	25	12	25	19
1700080O16Rik	0	0	0	0	0	0
1700082M22Rik	40	36	33	31	35	46
1700084C06Rik	108	112	88	95	88	111
1700084E18Rik	103	74	82	59	60	72
1700084E18Rik-201	58	35	44	31	33	33
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	11	6	7	3	5	7
1700086D15Rik	18	26	19	9	24	15
1700086L19Rik	61	47	28	13	23	37
1700087M22Rik	58	44	53	51	46	54
1700088E04Rik	549	501	428	461	514	539
1700092C10Rik	0	0	0	0	0	0
1700092M07Rik	30	22	17	26	30	33
1700093J21Rik	1	3	4	3	4	4
1700093K21Rik	10	11	2	3	2	2
1700094J05Rik	166	144	148	90	108	127
1700095A21Rik	4	0	0	7	11	9
1700095B10Rik	1	1	3	1	7	2
1700095J03Rik	9	5	6	7	5	2
1700095J12Rik	17	14	11	17	21	10
1700097M23Rik	1	0	1	0	0	0
1700097N02Rik	0	0	0	0	0	0
1700099I09Rik	28	23	33	15	29	20
1700100L14Rik	2	4	4	4	3	3
1700101I19Rik	0	0	1	1	1	0
1700102F20Rik	1	1	1	0	0	1
1700102P08Rik	92	111	69	52	57	74
1700105P06Rik	88	62	57	61	72	63
1700108J01Rik	2	0	2	1	2	1
1700108N11Rik	0	0	0	0	0	0
1700109G14Rik	11	10	6	7	6	7
1700109H08Rik	251	235	191	178	225	195
1700111E14Rik	17	14	16	9	13	13
1700111N16Rik	0	0	0	1	0	0
1700112D23Rik	13	14	12	9	10	7
1700112E06Rik	22	22	15	11	12	13
1700113A16Rik	997	940	723	604	714	743
1700113B19Rik	0	0	0	0	0	0
1700113H08Rik	10	4	3	2	0	3
1700119H24Rik	103	112	86	67	66	58
1700119I11Rik	0	0	0	1	0	0
1700120B22Rik	175	163	135	109	143	155
1700120E14Rik	3	2	1	2	1	3
1700120K04Rik	18	28	22	19	18	21
1700121C08Rik	2	4	3	0	0	2
1700122D07Rik	0	0	0	1	0	0
1700122O11Rik	0	0	0	2	0	0
1700123K08Rik	1	2	2	3	3	7
1700123L14Rik	3	7	4	2	1	4
1700123O20Rik	1252	1186	898	736	809	804
1700123O21Rik	4	3	4	4	8	5
1700124L16Rik	47	43	37	33	43	57
1700125G02Rik	6	12	1	7	11	9
1700125H03Rik	3	3	3	1	11	7
1700125H20Rik	7	4	2	3	2	2
1700126G02Rik	807	780	533	510	544	576
1700126H18Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1700129L04Rik	3	2	0	0	4	0
1810008B01Rik	111	94	92	69	85	77
1810009A15Rik	13354	11889	9226	9156	9835	10974
1810009J06Rik	0	0	0	0	0	0
1810010H24Rik	333	276	211	188	206	227
1810011H11Rik	2	3	7	2	4	0
1810011O10Rik	46	66	40	40	23	26
1810013D15Rik	7	6	11	9	16	13
1810013L24Rik	2611	2665	1842	1718	1833	1992
1810017P11Rik	0	0	0	0	0	0
1810018F18Rik	0	0	0	0	0	0
1810022K09Rik	1392	1281	950	666	713	783
1810024B03Rik	38	25	17	27	27	35
1810026J23Rik	2898	2720	1993	1833	2095	2395
1810030O07Rik	1012	973	724	695	729	772
1810032O08Rik	431	450	338	316	390	382
1810034E14Rik	18	18	16	17	23	12
1810037I17Rik	1646	1725	1116	1050	1088	1290
1810041H14Rik	17	18	14	15	18	8
1810041L15Rik	3412	3183	2433	2260	2463	2614
1810043G02Rik	1079	1011	744	821	926	934
1810043H04Rik	442	417	331	334	344	369
1810046K07Rik	0	1	2	1	0	1
1810049J17Rik	127	119	112	100	84	108
1810055G02Rik	280	237	194	182	166	226
1810062G17Rik	5	4	2	1	6	3
1810062O18Rik	210	256	190	152	180	197
1810064F22Rik	2	9	1	4	2	5
1810065E05Rik	0	0	0	0	0	0
2010001K21Rik-201	11	14	19	7	5	13
2010003K11Rik	0	0	0	0	0	0
2010005H15Rik	0	0	0	0	0	0
2010007H06Rik	34	34	29	16	34	34
2010008C14Rik	3	0	1	1	3	0
2010009K17Rik	33	45	23	17	25	24
2010103J01Rik	11	25	11	11	9	6
2010106C02Rik	10	4	6	3	6	5
2010106E10Rik	4	3	0	1	0	0
2010107E04Rik	4042	4084	2953	2469	2715	2973
2010107G23Rik	828	838	632	576	646	669
2010109A12Rik	24	19	12	13	14	22
2010109I03Rik	0	1	2	0	1	1
2010109P13Rik	4	3	0	1	2	0
2010111I01Rik	1464	1569	1227	1115	1257	1308
2010300C02Rik	70	89	67	35	27	27
2010309G21Rik	2	0	0	0	0	1
2010310C07Rik	3	3	3	2	3	3
2010315B03Rik	1250	1109	865	389	515	444
2200002A13Rik	0	0	0	1	1	1
2200002D01Rik	378	373	250	251	289	334
2200002J24Rik	0	0	0	0	0	0
2200007N16Rik	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0
2210011C24Rik	5	4	3	5	5	6
2210013O21Rik	696	647	433	387	465	497
2210016F16Rik	725	662	463	472	452	523
2210016L21Rik	1310	1287	903	953	1062	1134
2210017I01Rik	0	0	0	0	0	0
2210019I11Rik	0	0	0	0	0	0
2210406H18Rik	36	42	28	27	39	31
2210407C18Rik	0	0	0	0	0	1
2210408I21Rik	1156	1111	846	590	646	679
2210411M09Rik	9	8	8	6	13	10
2210412B16Rik	14	18	14	6	18	9
2210418O10Rik	1704	1684	1354	1053	1519	1372
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0
2300009A05Rik	483	449	315	348	382	406
2310001K20Rik	0	0	0	0	0	0
2310001K24Rik	50	60	37	38	36	35
2310002L09Rik	0	0	1	0	0	2
2310003L06Rik	0	0	0	0	0	1
2310007B03Rik	13	28	24	3	16	22
2310009B15Rik	205	234	163	146	159	171
2310010J17Rik	223	184	156	155	159	160
2310011J03Rik	755	803	624	515	571	664
2310014F06Rik	17	24	17	23	14	12
2310016G11Rik	20	12	13	10	11	18
2310022A10Rik	361	387	276	256	284	310
2310022B05Rik	572	563	418	413	462	488
2310030A07Rik	938	784	620	890	1059	1216
2310030G06Rik	32	27	13	40	35	51
2310033P09Rik	470	500	385	348	384	419
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik-002	55	32	36	27	33	39
2310035C23Rik	4619	4441	3209	3131	3536	3692
2310036O22Rik	2007	1989	1450	1391	1524	1607
2310039H08Rik	249	228	176	170	179	186
2310040G07Rik	9	15	11	13	19	17
2310043P16Rik	188	213	179	107	135	146
2310044K18Rik	0	1	0	1	0	2
2310046K23Rik	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0
2310057M21Rik	1034	1063	759	617	788	808
2310057N15Rik	0	0	0	0	0	0
2310061I04Rik	478	472	314	363	383	371
2310061N02Rik	0	0	0	0	0	1
2310068J16Rik	73	87	70	51	58	65
2310079G19Rik	0	0	0	0	0	0
2410002F23Rik	2186	2170	1468	1378	1529	1617
2410004B18Rik	1053	993	774	708	694	821
2410004P03Rik	3	4	3	4	0	2
2410015M20Rik	1162	1196	905	821	873	980
2410016O06Rik	347	280	242	208	251	237
2410021H03Rik	76	87	60	53	88	74
2410022M11Rik	356	370	267	272	371	345
2410024N13Rik-201	0	0	0	0	0	0
2410089E03Rik	2667	2550	2004	1786	2261	2151
2410124H12Rik	118	115	80	112	106	135
2410131K14Rik	2714	2710	2170	1911	2103	2263
2410137M14Rik	3	3	2	0	1	6
2410141K09Rik	0	0	0	0	3	0
2510002D24Rik	785	739	576	629	708	719
2510009E07Rik	5317	5437	3727	3461	4116	4426
2510016D11Rik	23	21	10	12	13	12
2510017J16Rik	108	99	93	65	108	80
2510039O18Rik	905	971	727	661	654	738
2510046G10Rik	189	165	122	105	115	129
2600006K01Rik	17	13	16	12	12	18
2600014E21Rik	47	46	39	81	92	92
2610001A08Rik	70	69	72	44	69	59
2610001J05Rik	1151	1191	777	745	781	880
2610002M06Rik	2029	1771	1337	1191	1332	1524
2610005L07Rik	5419	5453	3968	7423	8418	9720
2610008E11Rik	3065	3145	2312	2378	2702	2811
2610011E03Rik	33	65	53	33	35	34
2610012C04Rik	6	7	15	4	8	6
2610020H08Rik	163	184	128	98	130	108
2610021A01Rik	2250	2237	1649	976	1120	1212
2610028H24Rik	58	45	25	34	36	31
2610034O05Rik	0	1	0	2	1	0
2610042L04Rik	15	5	6	9	15	21
2610044O15Rik8	2115	2037	1568	1896	2081	2405
2610105M22Rik	0	0	0	0	1	0
2610204G07Rik	18	5	4	7	7	11
2610206C17Rik	25	27	23	31	24	31
2610300A13Rik	0	0	0	0	1	0
2610301B20Rik	1352	1254	935	1053	1207	1355
2610306M01Rik	395	398	304	328	394	412
2610306O10Rik	4	1	1	1	1	2
2610318N02Rik	7	10	3	0	6	10
2610507B11Rik	8912	8133	6265	5808	6572	6796
2610509F24Rik	0	0	0	0	0	0
2610524H06Rik	543	509	404	362	441	461
2610528A11Rik	74	51	46	27	41	37
2610528J11Rik	1	0	0	0	1	2
2700029L08Rik	28	29	22	28	42	27
2700049A03Rik	2071	1802	1353	1373	1622	1632
2700060E02Rik	2788	2778	1959	1645	1810	2073
2700062C07Rik	558	516	378	432	445	516
2700068H02Rik	0	2	2	4	1	3
2700069I18Rik	30	23	21	15	21	18
2700078F05Rik	92	132	73	62	96	70
2700080J24Rik	7	2	2	5	5	5
2700081O15Rik	1073	1156	757	713	765	824
2700094K13Rik	926	810	616	548	620	707
2700097O09Rik	398	375	296	215	259	245
2700099C18Rik	48	63	33	37	49	43
2810001G20Rik	754	721	500	498	537	588
2810004N23Rik	756	709	570	544	559	607
2810006K23Rik	581	575	424	364	440	475
2810013P06Rik	2639	2459	1819	1664	1825	2065
2810021J22Rik	1074	1002	805	723	832	884
2810025M15Rik	151	146	114	77	90	81
2810030D12Rik	538	509	364	352	393	449
2810039B14Rik-006	101	94	69	59	56	79
2810047C21Rik1	57	64	42	100	129	147
2810402E24Rik	331	272	205	218	261	277
2810403A07Rik	3059	3078	2311	2161	2430	2544
2810405F15Rik	51	50	70	70	78	75
2810408A11Rik	38	41	28	35	31	24
2810417H13Rik	89	96	62	50	67	62
2810428I15Rik	926	800	599	602	669	772
2810428J06Rik	140	133	110	81	116	99
2810432F15Rik	4	16	10	10	14	15
2810442N19Rik	73	84	85	19	22	30
2810454H06Rik	330	314	227	258	312	338
2810459M11Rik	18	23	6	11	13	20
2810474O19Rik	1357	1262	939	929	1096	1149
2900002M20Rik	42	40	33	32	49	35
2900009J06Rik	5	8	4	4	5	4
2900011O08Rik	2618	2476	1775	2014	2170	2447
2900018N21Rik	60	48	36	44	44	40
2900022M07Rik	29	38	55	23	38	33
2900026A02Rik	772	732	602	503	537	546
2900027M19Rik	102	150	104	63	120	97
2900035J10Rik	0	5	2	2	3	3
2900037B21Rik	3	0	0	0	0	0
2900042K21Rik	0	1	1	0	0	0
2900055J20Rik	181	179	95	94	128	114
2900060B14Rik	29	45	34	34	39	44
2900064F13Rik	23	28	20	19	20	15
2900064K03Rik	127	227	138	69	147	86
2900069G24Rik	1	1	1	0	1	0
2900076G11Rik	13	21	8	10	24	26
2900089D17Rik	12	21	12	13	14	10
2900092C05Rik	0	0	1	1	2	0
2900092N22Rik	5	3	3	3	1	3
2900092O11Rik	0	0	0	0	0	0
2900093K20Rik	193	170	133	131	130	159
2900097C17Rik	6490	5823	4226	4603	5037	5506
3010003L21Rik	22	15	13	13	9	7
3010026O09Rik	374	333	273	273	309	319
3100002H09Rik	0	0	0	0	0	0
3110001I22Rik	734	693	509	501	513	559
3110002H16Rik	1350	1192	970	909	987	1166
3110009E18Rik	95	86	53	80	62	81
3110018I06Rik	4	10	6	8	4	4
3110021N24Rik	920	863	617	321	357	382
3110031N09Rik	9	10	3	9	6	4
3110035E14Rik	60	63	45	106	116	129
3110040N11Rik	352	363	269	273	269	300
3110043O21Rik	1599	1355	1027	1025	1134	1289
3110045C21Rik	25	28	24	17	13	14
3110053B16Rik	47	47	32	11	17	20
3110056K07Rik	769	740	609	456	549	549
3110062G12Rik	27	18	25	9	18	19
3110062M04Rik	330	265	193	164	214	240
3110070M22Rik	355	300	227	92	119	109
3110079O15Rik	2	4	1	4	2	3
3110080O07Rik	6	17	14	5	11	2
3110082I17Rik	120	118	68	81	106	95
3110082J24Rik	0	0	0	0	0	0
3300002A11Rik	9	8	11	6	14	9
3300002I08Rik	276	226	177	181	204	214
3425401B19Rik	29	29	21	13	20	19
3632451O06Rik	651	630	384	1170	1390	1320
3830403N18Rik	0	0	2	1	0	5
3830406C13Rik	914	890	618	770	843	904
3830408C21Rik	40	46	44	33	52	38
3830417A13Rik	0	0	0	0	0	0
3830422I06Rik	0	0	0	0	0	0
4430402I18Rik	740	709	607	556	622	647
4632404M16Rik	2	0	0	0	3	1
4632427E13Rik	2920	2889	2214	2223	2962	2688
4632432E15Rik	665	601	527	345	442	392
4633401B06Rik	29	30	20	18	26	25
4731419I09Rik	314	304	182	221	270	287
4732416N19Rik	337	317	228	221	277	272
4732440D04Rik	728	638	528	500	578	527
4732471J01Rik	359	381	266	245	302	273
4833404L02Rik	4	8	9	1	5	2
4833412K13Rik	52	47	53	48	58	45
4833413G10Rik	306	279	245	214	236	244
4833418N17Rik-201	0	0	0	0	0	0
4833420G17Rik	2718	2655	2038	1002	1118	1065
4833421G17Rik	47	33	37	40	45	48
4833421K07Rik	8	10	2	0	4	4
4833422C13Rik	1213	1064	925	800	1005	1078
4833423E24Rik	8	8	7	3	7	13
4833427G06Rik	1	3	1	1	0	0
4833439L19Rik	5225	5214	3800	3853	4085	4556
4921501E09Rik	0	0	0	0	0	3
4921504A21Rik	332	303	252	284	318	361
4921504E06Rik	0	0	0	0	0	0
4921507P07Rik	51	57	27	46	62	61
4921508M14Rik	4	2	1	4	2	5
4921509A06Rik	0	0	0	0	1	0
4921509C19Rik	0	0	1	0	0	0
4921511C10Rik	20	23	21	14	18	10
4921511C20Rik	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0
4921511H03Rik	171	233	191	129	235	142
4921511M17Rik	0	0	0	0	0	0
4921513D11Rik	62	59	63	46	56	50
4921513I03Rik	2	2	1	3	4	0
4921513I08Rik	4	4	1	3	2	1
4921514A10Rik	446	414	337	273	271	326
4921517D22Rik	0	0	0	0	0	0
4921518K17Rik	0	0	0	0	0	0
4921523L03Rik	3	8	1	2	2	4
4921524J17Rik	557	514	347	313	373	394
4921524L21Rik	0	0	0	0	0	0
4921527H02Rik	0	0	0	0	0	0
4921528I07Rik	0	0	0	0	0	1
4921530L21Rik	0	0	0	0	0	0
4921534H16Rik	3	13	12	6	10	9
4921536K21Rik	3	4	6	4	2	1
4921539E11Rik	1	2	1	3	2	2
4922502D21Rik	0	0	0	0	0	0
4930402F06Rik	0	2	2	2	0	0
4930402H05Rik	0	0	0	0	0	0
4930402H24Rik	5187	4546	3627	3524	4291	4422
4930402K13Rik	0	3	1	0	4	1
4930403D09Rik	0	1	1	2	0	0
4930404A12Rik	307	294	207	163	226	205
4930404H24Rik	9	10	7	3	8	8
4930404N11Rik	630	645	495	454	504	536
4930405G09Rik	0	1	0	0	1	0
4930405H06Rik	20	30	25	11	16	21
4930405N21Rik	0	2	0	2	1	1
4930405O22Rik	25	25	30	23	24	33
4930407I10Rik	0	2	0	1	1	5
4930408O17Rik	2	0	0	2	0	1
4930412O13Rik	0	1	0	0	0	0
4930413G21Rik	73	67	41	35	49	37
4930415F15Rik	39	18	20	14	22	24
4930415H17Rik-001	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0
4930415O20Rik	20	19	13	13	21	18
4930417O22Rik	0	0	0	0	0	0
4930419G24Rik	484	530	418	302	394	333
4930420N18Rik	0	2	1	0	0	1
4930421C12Rik	0	0	0	0	0	1
4930422M22Rik	58	61	47	42	56	65
4930423C22Rik	1	1	2	4	2	1
4930425K10Rik	1	0	0	1	0	0
4930426D05Rik	13	13	8	4	8	4
4930426L09Rik	23	23	15	9	12	24
4930427A07Rik	44	61	43	45	35	52
4930430A15Rik	0	0	0	0	0	0
4930430E12Rik	1	0	2	0	2	0
4930430F08Rik	2287	2203	1580	1557	1750	1965
4930430O22Rik	248	221	207	174	224	205
4930432E11Rik	0	0	0	0	0	0
4930432K21Rik	98	71	84	76	110	102
4930432M17Rik	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0
4930435E12Rik	0	0	0	0	0	0
4930435N07Rik	37	72	42	28	55	29
4930438A08Rik	0	0	0	0	1	1
4930439A04Rik	15	9	5	5	6	6
